film_id,display_title,release_year,release_month_num,primary_genre,secondary_genre,sequel_flag,director,lead_actor_1,lead_actor_2,production_house,actor_rank_score,actor_tier_proxy,director_rank_score,director_tier_proxy,budget_cr,worldwide_gross_cr,verdict_raw,financial_data_confidence
BOLLY_2010_0085_maalik_ek,Maalik Ek,2010,10,Historical,,No,Deepak Balraj Vij,Jackie Shroff,Divya Dutta,,2.6163,D,,,,,,Missing/Partial
BOLLY_2010_0086_nakshatra,Nakshatra,2010,10,Thriller,,No,Mohan Savalkar,Anupam Kher,,,3.4477,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0087_action_replayy,Action Replayy,2010,11,Action,,No,Vipul Amrutlal Shah,Akshay Kumar,Aishwarya Rai Bachchan,"PVR Pictures, Hari Om Entertainment",6.3805,C,3.229,D,60,48,hitFlop=1,High
BOLLY_2010_0088_dunno_y_na_jaane_kyon,Dunno Y... Na Jaane Kyon,2010,9,Drama,,No,Sanjay Sharma,Aryan Vaid,Rituparna Sengupta,,1.2788,D,,,,,,Missing/Partial
BOLLY_2010_0089_a_flat,A Flat,2010,11,Horror,,No,Raaj Verma,Sanjay Suri,Jimmy Shergill,,1.9321,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0090_guzaarish,Guzaarish,2010,11,Drama,,No,Sanjay Leela Bhansali,Hrithik Roshan,Aishwarya Rai Bachchan,UTV Motion Pictures,8.2519,D,4.922,D,75,61.3,hitFlop=1,High
BOLLY_2010_0091_shahrukh_bola_khoobsurat_hai_tu,"Shahrukh Bola ""Khoobsurat Hai Tu""",2010,11,Drama,,No,Makrand Deshpande,Shahrukh Khan,Kay Kay Menon,,,D,,,,,,Missing/Partial
BOLLY_2010_0092_diwangi_ne_had_kar_di,Diwangi Ne Had Kar Di,2010,11,Drama,,No,Jiten Purohit,,,,,,,,,,,Missing/Partial
BOLLY_2010_0093_allah_ke_banday,Allah Ke Banday,2010,11,Drama,,No,Faruk Kabir,Sharman Joshi,Naseeruddin Shah,,3.6904,D,,,5,,hitFlop=1,Low
BOLLY_2010_0094_break_ke_baad,Break Ke Baad,2010,11,Comedy,,No,Danish Aslam,Imran Khan,Deepika Padukone,Reliance Big Pictures,5.112,C,,,18,,hitFlop=2,Low
BOLLY_2010_0095_khuda_kasam,Khuda Kasam,2010,11,Action,,No,K C Bokadia,Sunny Deol,Tabu,,3.3809,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0096_khelein_hum_jee_jaan_sey,Khelein Hum Jee Jaan Sey,2010,12,Action,,No,Ashutosh Gowariker,Abhishek Bachchan,Deepika Padukone,PVR Pictures,5.2079,D,3.7481,D,45,4.91,hitFlop=1,High
BOLLY_2010_0097_phas_gaye_re_obama,Phas Gaye Re Obama,2010,12,Comedy,,No,Subhash Kapoor,Rajat Kapoor,Neha Dhupia,Warner Bros. Pictures,2.737,D,,,6,14,hitFlop=4,High
BOLLY_2010_0098_rakta_charitra_2,Rakta Charitra 2,2010,12,Action,,No,Ram Gopal Verma,Suriya,Vivek Oberoi,,,D,,,,,,Missing/Partial
BOLLY_2010_0099_band_baaja_baaraat,Band Baaja Baaraat,2010,12,Comedy,,No,Maneesh Sharma,Ranveer Singh,Anushka Sharma,Yash Raj Films,6.0024,C,,,,96,,Low
BOLLY_2010_0100_no_problem,No Problem,2010,12,Action,,No,Anees Bazmee,Paresh Rawal,Anil Kapoor,Eros International,3.7967,D,5.6076,C,,,hitFlop=2,Missing/Partial
BOLLY_2010_0101_332_mumbai_to_india,332 Mumbai to India,2010,12,Thriller,,No,Mahesh Pandey,Ali Asgar,,,,,,,,,,Missing/Partial
BOLLY_2010_0102_payback,Payback,2010,12,Thriller,,No,Sachin P. Karande,Sara Khan,Gulshan Grover,,,D,,,,0.25,hitFlop=1,Low
BOLLY_2010_0103_kaalo,Kaalo,2010,12,Horror,,No,Wilson Louis,Aditya Srivastava,Gufi Paintal,,1.1115,D,,,,0.3,hitFlop=1,Low
BOLLY_2010_0104_mirch,Mirch,2010,12,Comedy,,No,Vinay Shukla,Konkona Sen Sharma,Raima Sen,Reliance Big Pictures,2.9405,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0105_isi_life_mein,Isi Life Mein...!,2010,12,Romance,,No,Vidhi Kasliwal,Akshay Oberoi,Sandeepa Dhar,,,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0106_toonpur_ka_superrhero,Toonpur Ka Superrhero,2010,12,Action,,No,Kireet Khurana,Ajay Devgn,Kajol,Eros International,6.8713,C,,,25,7.09,hitFlop=1,High
BOLLY_2010_0107_tera_kya_hoga_johnny,Tera Kya Hoga Johnny,2010,12,Drama,,No,Sudhir Mishra,Neil Nitin Mukesh,Soha Ali Khan,,2.7445,D,1.6302,D,,,,Missing/Partial
BOLLY_2010_0108_ada_a_way_of_life,Ada... A Way of Life,2010,12,Musical,,No,Tanvir Ahmad,Nauheed Cyrusi,Ayesha Jhulka,,1,D,,,,,,Missing/Partial
BOLLY_2011_0109_bodyguard,Bodyguard,2011,8,Action,,No,Reliance Entertainment,,,,,,,,60,252.99,hitFlop=5,High
BOLLY_2011_0110_ra_one,Ra.One,2011,10,Action,,No,Red Chillies Entertainment,,,,,,,,120,207,hitFlop=3,High
BOLLY_2011_0111_don_2,Don 2,2011,12,Action,,No,Reliance Entertainment | Excel Entertainment,,,,,,,,76,202.81,hitFlop=4,High
BOLLY_2011_0112_ready,Ready,2011,6,Action,,No,T-Series Films,,,,,,,,,186.02,hitFlop=8,Low
BOLLY_2011_0113_zindagi_na_milegi_dobara,Zindagi Na Milegi Dobara,2011,7,Comedy,,No,Eros International | Excel Entertainment,,,,,,,,45,153,hitFlop=5,High
BOLLY_2011_0114_singham,Singham,2011,7,Action,,No,Reliance Entertainment,,,,,,,,41,141.3,hitFlop=5,High
BOLLY_2011_0115_the_dirty_picture,The Dirty Picture,2011,12,Drama,,No,Balaji Motion Pictures | ALT Entertainment,,,,,,,,18,117,hitFlop=5,High
BOLLY_2011_0116_rockstar,Rockstar,2011,11,Drama,,No,Shree Ashtavinayak Cine Vision | Eros International,,,,,,,,,108.7,hitFlop=5,Low
BOLLY_2011_0117_murder_2,Murder 2,2011,7,Action,,No,Vishesh Films,,,,,,,,13,67.84,hitFlop=5,High
BOLLY_2011_0118_delhi_belly,Delhi Belly,2011,7,Action,,No,UTV Motion Pictures,,,,,,,,23,87.6,hitFlop=5,High
BOLLY_2011_0119_no_one_killed_jessica,No One Killed Jessica,2011,1,Thriller,,No,Raj Kumar Gupta,Rani Mukherjee,Vidya Balan,UTV Spotboy,,C,4.6076,D,9,45.72,hitFlop=5,High
BOLLY_2011_0120_impatient_vivek,Impatient Vivek,2011,1,Comedy,,No,Rahat Kazmi,Sayali Bhagat,,,,D,1.0545,D,,,hitFlop=1,Missing/Partial
BOLLY_2011_0121_yamla_pagla_deewana,Yamla Pagla Deewana,2011,1,Comedy,,No,Samir Karnik,Dharmendra,Sunny Deol,"One Up Entertainment, Top Angle Productions",3.0997,D,2.1674,D,13,88,hitFlop=5,High
BOLLY_2011_0122_turning_30,Turning 30!!!,2011,1,Comedy,,No,Alankrita Shrivastava,Purab Kohli,Gul Panag,,,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2011_0123_mumbai_mast_kallander,Mumbai Mast Kallander,2011,1,Drama,,No,Aman Mihani,Shilpa Shukla,,,,,,,,,hitFlop=1,Missing/Partial
BOLLY_2011_0124_dhobi_ghat,Dhobi Ghat,2011,1,Drama,,No,Kiran Rao,Prateik Babbar,Aamir Khan,UTV Motion Pictures,,A,,,40,25.6,hitFlop=1,High
BOLLY_2011_0125_hostel,Hostel,2011,1,Action,,No,Manish Gupta,Vatsal Sheth,Tulip Joshi,,,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2011_0126_dil_toh_baccha_hai_ji,Dil Toh Baccha Hai Ji,2011,1,Comedy,,No,Madhur Bhandarkar,Ajay Devgn,Emraan Hashmi,"Bhandarkar Entertainment, Wide Frame Pictures, Baba Arts",6.8713,C,3.2787,D,,28.91,hitFlop=2,Low
BOLLY_2011_0127_yeh_saali_zindagi,Yeh Saali Zindagi,2011,2,Drama,,No,Sudhir Mishra,Arunoday Singh,Chitrangada Singh,"Mystic Movies, Prakash Jha Productions, Cineraas Productions",2.1151,D,1.6302,D,8,10.75,hitFlop=2,High
BOLLY_2011_0128_united_six,United Six,2011,2,Drama,,No,Vishal Aryan Singh,Parvathy Omanakuttan,,,,,,,,,hitFlop=1,Missing/Partial
BOLLY_2011_0129_utt_pataang,Utt Pataang,2011,2,Comedy,,No,Srikanth V. Velagaleti,Vinay Pathak,Mahie Gill,Warner Bros. Pictures,3.1247,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2011_0130_angel,Angel,2011,2,Action,,No,Ganesh Acharya,Aruna Irani,,,,,,,,,hitFlop=1,Missing/Partial
BOLLY_2011_0131_patiala_house,Patiala House,2011,2,Drama,,No,Nikhil Advani,Rishi Kapoor,Dimple Kapadia,"T-Series Films, Hari Om Entertainment, Emmay Entertainment",4.4084,B,2.3243,D,26,35.3,hitFlop=2,High
BOLLY_2011_0132_aashiqui_in,Aashiqui.in,2011,2,Comedy,,No,Shankhadeep,,,,,,,,,,hitFlop=1,Missing/Partial
BOLLY_2011_0133_7_khoon_maaf,7 Khoon Maaf,2011,2,Comedy,,No,Vishal Bhardwaj,Priyanka Chopra,Neil Nitin Mukesh,UTV Spotboy,8.1369,B,3.6423,D,15,33,hitFlop=4,High
BOLLY_2011_0134_kaccha_limboo,Kaccha Limboo,2011,2,Drama,,No,Sagar Ballary,Vinay Pathak,Sarika,,3.1247,D,2.74,D,,,hitFlop=1,Missing/Partial
BOLLY_2011_0135_masti_express,Masti Express,2011,2,Comedy,,No,Vikram Pradhan,Rajpal Yadav,Johnny Lever,,2.3783,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2011_0136_tanu_weds_manu,Tanu Weds Manu,2011,2,Comedy,,No,Aanand L. Rai,Madhavan,Kangana Ranaut,Viacom18 Motion Pictures,5.0561,C,,,17.5,56,hitFlop=5,High
