film_id,canonical_title,display_title,release_year,release_month,release_month_num,release_date,primary_genre,secondary_genre,all_genres,sequel_flag,remake_flag,director,lead_actor_1,lead_actor_2,cast_list,writer_list,production_house,actor_rank_score,actor_tier_proxy,director_rank_score,director_tier_proxy,budget_cr,budget_usd,worldwide_gross_cr,worldwide_gross_usd,domestic_gross_cr,domestic_gross_usd,opening_day_cr,opening_weekend_cr,runtime_minutes,imdb_id,imdb_rating,content_score_clarity,content_score_novelty,content_score_execution,content_score_originality,content_score_structure,content_score_pacing,content_score_engagement,content_score_authenticity,verdict_raw,financial_data_confidence,is_synthetic,source,data_version,last_updated
BOLLY_2010_0022_toh_baat_pakki,Toh Baat Pakki!,Toh Baat Pakki!,2010,February,2,2010-02-19,Comedy,,Comedy | Drama,No,,Kedarh Shinde,Tabu,Sharman Joshi,Tabu | Sharman Joshi | Yuvika Chaudhry | Vatsal Seth,Shabbir Ahmed (lyrics) | Mayur Puri (lyrics) | Sayeed Qadri (lyrics) | Pramod Sharma (story) | Vibha Singh (screenplay),,5.0682,C,,,,,,,,,,,,tt1605778,5.8,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0023_karthik_calling_karthik,Karthik Calling Karthik,Karthik Calling Karthik,2010,February,2,2010-02-26,Thriller,,Drama | Romance | Thriller,No,,Vijay Lalwani,Farhan Akhtar,Deepika Padukone,Farhan Akhtar | Deepika Padukone | Ram Kapoor | Vivan Bhatena,Vijay Lalwani (story),"Eros International, Excel Entertainment",6.6258,D,,,,,,,,,,,,tt1373156,7.1,,,,,,,,,hitFlop=2,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0024_teen_patti,Teen Patti,Teen Patti,2010,February,2,2010-02-26,Drama,,Drama | Thriller,No,,Leena Yadav,Amitabh Bachchan,Ben Kingsley,Amitabh Bachchan | Madhavan | Shraddha Kapoor | Siddharth Kher,Shivkumar Subramaniam (story) | Leena Yadav (story) | Ben Rekhi (english dialogue),"Hinduja Ventures, Serendipity Films",7.0113,B,,,18,,7.63,,,,,,,tt1183917,4.2,,,,,,,,,hitFlop=1,High,,wikipedia,2.0,2026-07-02
BOLLY_2010_0025_atithi_tum_kab_jaoge,Atithi Tum Kab Jaoge?,Atithi Tum Kab Jaoge?,2010,March,3,2010-03-05,Comedy,,Comedy | Drama,No,,Ashwni Dhir,Ajay Devgn,Konkona Sen Sharma,Ajay Devgn | Konkona Sen Sharma | Paresh Rawal | Satish Kaushik,Robin Bhatt (screenplay) | Ashwani Dhir | Tushar Hiranandani (screenplay) | Amit Mishra (lyrics),Warner Bros. Pictures,6.8713,C,,,,,3.9,,,,,,,tt1578116,6.5,,,,,,,,,hitFlop=4,Low,,wikipedia,2.0,2026-07-02
BOLLY_2010_0026_hello_zindagi,Hello Zindagi,Hello Zindagi,2010,,,2010-03-05,Drama,,Drama | Family,No,,Raja Unnithan,Milind Gunaji,Neena Gupta,Kitu Gidwani | Milind Gunaji | Neena Gupta | Mrunmayee Lagoo,Vivek Gupta (dialogue) | Vivek Gupta (screenplay) | Raja Unnithan (story) | Raja Unnithan,,,D,,,,,,,,,,,,tt1625331,,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0027_road_movie,"Road, Movie","Road, Movie",2010,March,3,,Drama,,Drama,No,,Dev Benegal,Abhay Deol,Satish Kaushik,Abhay Deol,,"Indian Films, Studio 18",2.5106,D,,,8,,,,,,,,,,,,,,,,,,,,Low,,wikipedia,2.0,2026-07-02
BOLLY_2010_0028_rokkk,Rokkk,Rokkk,2010,March,3,2010-03-05,Thriller,,Drama | Horror | Mystery,No,,Rajesh Ranshinge,Udita Goswami,Shaad Randhawa,Tanushree Dutta | Udita Goswami | Shaad Randhawa | Sachin Khedekar,Rajesh Ranshinge (story) | Haroon Rashid (screenplay),,,D,,,5.25,,1.05,,,,,,,tt1612573,4.3,,,,,,,,,hitFlop=1,High,,wikipedia,2.0,2026-07-02
BOLLY_2010_0029_thanks_maa,Thanks Maa,Thanks Maa,2010,March,3,,Drama,,Drama,No,,Irfan Kamal,Ranvir Shorey,Alok Nath,Ranvir Shorey,,,3.063,D,,,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0030_right_yaaa_wrong,Right Yaaa Wrong,Right Yaaa Wrong,2010,March,3,,Thriller,,Thriller,No,,Neeraj Pathak,Sunny Deol,Irrfan Khan,Sunny Deol,,,3.3809,D,,,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0031_trump_card,Trump Card,Trump Card,2010,,,2010-03-12,Thriller,,Action | Drama | Mystery,No,,Arshad Khan,,,Vikrum Kumar | Haidar Ali | Urvashi Chaudhary | Mansi Dovhal,Arshad Khan (screenplay) | Yawer Rehman (screenplay) | Yawer Rehman (script),,,,2.1402,D,,,,,,,,,,tt1629424,,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
